horizon,true_pos,false_pos,false_neg,true_neg,true_pos_ave_obs,true_pos_ave_q05,true_pos_ave_q50,true_pos_ave_q95,false_pos_ave_obs,false_pos_ave_q05,false_pos_ave_q50,false_pos_ave_q95,false_neg_ave_obs,false_neg_ave_q05,false_neg_ave_q50,false_neg_ave_q95,true_neg_ave_obs,true_neg_ave_q05,true_neg_ave_q50,true_neg_ave_q95
7.000000000000000000e+00,4.743400000000000000e+04,1.691400000000000000e+04,1.910700000000000000e+04,4.983030000000000000e+05,4.001233612022240926e+00,1.057392250221944607e+00,5.477388744411146426e+00,1.867379484646295396e+01,2.885987475099638999e+01,1.755856333501118138e+00,7.287390123188065338e+00,2.068794203154144640e+01,6.700183344882767678e+00,6.290674733211212732e+00,1.412056998095495253e+01,2.505291715124721819e+01,5.581695554762186617e+01,1.081306385666042047e+01,2.366751798673583806e+01,3.316983205040188665e+01
1.400000000000000000e+01,3.980200000000000000e+04,2.551700000000000000e+04,2.622500000000000000e+04,4.837740000000000000e+05,3.914088705652599032e+00,8.485943129094579707e-01,6.015085292076035373e+00,2.287582744245499100e+01,3.466636726935371371e+01,1.295785133956942614e+00,7.369145783743813460e+00,2.356543867316240082e+01,6.081966164942238073e+00,5.495722674786106765e+00,1.489260631855836436e+01,2.658120066785494018e+01,5.591886612013181690e+01,9.544067867480295675e+00,2.215152447750607578e+01,3.116803330360324864e+01
2.100000000000000000e+01,2.922350000000000000e+04,2.204400000000000000e+04,3.620750000000000000e+04,4.814040000000000000e+05,3.851334050913819418e+00,5.256217581243557424e-01,6.865307388629981133e+00,2.379270053813418784e+01,3.838254998822623065e+01,7.706037396931234573e-01,7.722974013837303531e+00,2.403766672635363477e+01,5.625604700090271137e+00,4.773938053507986723e+00,1.498065654087195675e+01,2.721770821101254967e+01,5.561475215641849701e+01,8.245149423325784710e+00,2.096639476403721858e+01,3.039570834419662049e+01
2.800000000000000000e+01,1.864500000000000000e+04,1.857100000000000000e+04,4.619000000000000000e+04,4.790340000000000000e+05,3.788579396175040248e+00,2.026492033392535141e-01,7.715529485183926894e+00,2.470957363381338467e+01,4.209873270709874760e+01,2.454223454293043005e-01,8.076802243930792713e+00,2.450989477954486873e+01,5.169243235238304202e+00,4.052153432229866681e+00,1.506870676318554914e+01,2.785421575417015916e+01,5.531063819270517712e+01,6.946230979171274633e+00,1.978126505056835782e+01,2.962338338478998878e+01
3.675000000000000000e+01,1.633875000000000000e+04,1.796200000000000000e+04,4.774600000000000000e+04,4.723460000000000000e+05,3.942116908067442083e+00,3.509466852418482441e-01,7.675691012451263617e+00,2.479914920465898120e+01,4.183127441854492190e+01,3.630582819763285563e-01,8.096143511497922773e+00,2.463802146795735126e+01,5.081068509631034402e+00,4.141578604014048537e+00,1.525900204698833562e+01,2.794495710098059149e+01,5.524770547704576273e+01,6.637408257617301466e+00,1.954683676304075846e+01,2.948566965427689723e+01
4.550000000000000000e+01,1.403250000000000000e+04,1.735300000000000000e+04,4.930200000000000000e+04,4.656580000000000000e+05,4.095654419959843473e+00,4.992441671444429740e-01,7.635852539718599452e+00,2.488872477550457774e+01,4.156381612999109620e+01,4.806942185233529230e-01,8.115484779065052834e+00,2.476614815636983735e+01,4.992893784023765491e+00,4.231003775798229505e+00,1.544929733079112211e+01,2.803569844779102027e+01,5.518477276138635546e+01,6.328585536063327410e+00,1.931240847551315909e+01,2.934795592376380569e+01
5.425000000000000000e+01,1.172625000000000000e+04,1.674400000000000000e+04,5.085800000000000000e+04,4.589700000000000000e+05,4.249191931852245752e+00,6.475416490470375930e-01,7.596014066985935287e+00,2.497830034635017071e+01,4.129635784143726340e+01,5.983301550703772342e-01,8.134826046632182894e+00,2.489427484478231989e+01,4.904719058416496580e+00,4.320428947582410473e+00,1.563959261459390859e+01,2.812643979460145260e+01,5.512184004572694107e+01,6.019762814509354243e+00,1.907798018798556328e+01,2.921024219325071769e+01
6.300000000000000000e+01,9.420000000000000000e+03,1.613500000000000000e+04,5.241400000000000000e+04,4.522820000000000000e+05,4.402729443744647142e+00,7.958391309496324340e-01,7.556175594253272010e+00,2.506787591719576724e+01,4.102889955288343771e+01,7.159660916174015455e-01,8.154167314199312955e+00,2.502240153319480243e+01,4.816544332809226781e+00,4.409854119366592329e+00,1.582988789839669508e+01,2.821718114141188494e+01,5.505890733006752669e+01,5.710940092955381076e+00,1.884355190045796391e+01,2.907252846273762614e+01
6.859999999999999432e+01,8.713000000000000000e+03,1.593820000000000073e+04,5.262140000000000146e+04,4.478287999999999884e+05,4.420171916529173295e+00,8.050004671112460652e-01,7.571839655837192318e+00,2.516327420546378590e+01,4.181691479136760847e+01,6.998737603848271815e-01,8.078643568257014351e+00,2.512643829776697046e+01,4.804065512198323340e+00,4.612557369502344073e+00,1.616264561765800067e+01,2.828334213855387347e+01,5.500726845691246325e+01,5.713094317116590659e+00,1.893199310701536930e+01,2.905168615515187014e+01
7.420000000000000284e+01,8.006000000000000000e+03,1.574139999999999964e+04,5.282880000000000291e+04,4.433755999999999767e+05,4.437614389313700336e+00,8.141618032728598076e-01,7.587503717421112626e+00,2.525867249373180456e+01,4.260493002985177213e+01,6.837814291522529286e-01,8.003119822314715748e+00,2.523047506233913850e+01,4.791586691587420788e+00,4.815260619638095818e+00,1.649540333691930982e+01,2.834950313569586555e+01,5.495562958375740692e+01,5.715248541277799355e+00,1.902043431357277470e+01,2.903084384756611414e+01
7.979999999999999716e+01,7.299000000000000000e+03,1.554460000000000036e+04,5.303619999999999709e+04,4.389224000000000233e+05,4.455056862098226489e+00,8.233231394344735499e-01,7.603167779005032045e+00,2.535407078199981967e+01,4.339294526833594290e+01,6.676890979196785647e-01,7.927596076372418032e+00,2.533451182691130299e+01,4.779107870976517347e+00,5.017963869773846675e+00,1.682816105618061542e+01,2.841566413283785408e+01,5.490399071060234348e+01,5.717402765439008938e+00,1.910887552013018365e+01,2.901000153998036168e+01
8.540000000000000568e+01,6.592000000000000000e+03,1.534779999999999927e+04,5.324359999999999854e+04,4.344692000000000116e+05,4.472499334882753530e+00,8.324844755960872922e-01,7.618831840588952353e+00,2.544946907026783833e+01,4.418096050682010656e+01,6.515967666871043118e-01,7.852072330430120317e+00,2.543854859148347103e+01,4.766629050365614795e+00,5.220667119909598419e+00,1.716091877544192457e+01,2.848182512997984617e+01,5.485235183744728715e+01,5.719556989600217634e+00,1.919731672668758904e+01,2.898915923239460568e+01
